age,job_level,housing,saving_accounts,checking_account,credit_amount,duration_months,purpose,employment_years,existing_credits,dependents,monthly_income,default
42,1,own,none,little,134052.0,18,car,18,2,3,53750.0,0
31,3,rent,little,little,253261.0,24,furniture,29,1,2,54774.0,1
67,2,rent,little,rich,22566.0,6,car,22,1,3,39652.0,0
26,2,own,little,little,279425.0,24,car,31,1,3,52816.0,0
43,1,free,little,little,68577.0,60,car,28,1,1,25508.0,1
19,1,own,rich,moderate,100199.0,60,car,7,4,3,35145.0,1
37,3,own,none,rich,201202.0,24,furniture,20,3,2,40643.0,0
45,2,free,moderate,little,27754.0,24,furniture,16,2,0,53180.0,0
64,2,own,rich,moderate,84796.0,12,furniture,16,3,0,38881.0,0
24,2,own,rich,moderate,180826.0,60,business,20,3,2,42086.0,1
61,2,own,little,rich,68171.0,12,car,14,3,2,59924.0,0
25,1,rent,little,none,170799.0,24,car,26,3,3,52134.0,1
64,2,own,little,moderate,148128.0,6,education,24,3,2,87078.0,0
52,2,free,little,little,109262.0,18,education,32,2,2,28700.0,0
31,2,rent,little,little,141399.0,6,car,1,3,3,21863.0,1
34,2,own,little,moderate,214653.0,36,appliances,15,3,1,79402.0,0
53,3,rent,little,rich,141705.0,24,furniture,35,3,1,49723.0,0
67,0,own,little,little,172384.0,24,furniture,7,4,3,68976.0,0
57,3,own,none,little,58176.0,12,furniture,15,1,1,26903.0,0
21,1,rent,little,rich,139972.0,36,furniture,6,4,1,36214.0,1
19,2,free,moderate,moderate,132405.0,6,education,4,3,3,47408.0,0
23,0,own,moderate,rich,193752.0,18,furniture,22,4,1,45005.0,0
59,1,own,moderate,none,49277.0,36,car,7,2,2,43630.0,0
21,2,own,little,rich,187994.0,48,appliances,2,2,1,16497.0,1
46,0,own,little,moderate,58250.0,12,furniture,34,2,1,42936.0,0
35,2,own,little,moderate,402072.0,24,business,35,1,2,51142.0,0
43,3,own,little,none,57926.0,24,furniture,35,2,2,38931.0,0
61,1,rent,little,moderate,49018.0,48,furniture,14,1,0,62640.0,0
51,2,own,moderate,little,82925.0,6,car,29,2,3,62703.0,0
27,2,own,moderate,little,185168.0,18,business,14,4,0,48927.0,0
53,2,rent,moderate,moderate,122153.0,12,business,28,4,0,31920.0,0
31,1,rent,moderate,none,270412.0,6,car,3,4,1,51442.0,0
48,1,own,little,little,82430.0,12,car,33,4,2,53951.0,0
65,1,own,none,little,73572.0,60,appliances,22,1,0,46776.0,1
32,0,rent,little,none,63534.0,12,appliances,34,2,3,31573.0,1
25,1,own,rich,none,71985.0,48,education,27,3,0,60199.0,0
31,2,own,rich,little,42688.0,12,furniture,30,4,1,52713.0,0
40,3,rent,moderate,moderate,66883.0,48,appliances,32,2,0,37817.0,0
57,3,own,little,moderate,47749.0,36,car,17,2,2,47797.0,0
38,2,own,moderate,little,151961.0,12,business,4,2,2,28402.0,0
33,1,own,little,none,239933.0,24,furniture,8,3,3,11035.0,1
62,1,own,little,little,112756.0,18,business,19,4,0,17508.0,0
35,1,own,little,little,65885.0,18,car,37,1,2,49716.0,0
64,1,free,little,little,154286.0,18,education,8,1,0,39619.0,0
41,2,own,moderate,little,96418.0,18,education,17,3,0,52560.0,0
43,2,own,none,little,181481.0,36,appliances,14,3,2,59953.0,0
42,1,own,little,little,55980.0,36,business,14,1,2,51257.0,0
62,1,free,none,rich,58361.0,18,appliances,13,1,1,33412.0,0
58,3,own,none,little,152618.0,48,appliances,34,4,1,52412.0,1
46,2,own,none,none,97523.0,48,furniture,39,1,3,38015.0,1
32,1,rent,none,moderate,172151.0,6,car,35,1,3,39192.0,0
62,3,own,little,moderate,58976.0,6,education,19,1,3,63909.0,0
18,3,own,little,little,128052.0,18,appliances,10,3,0,55267.0,0
42,1,own,moderate,little,137021.0,24,car,16,1,3,37489.0,0
24,1,own,moderate,moderate,39251.0,12,education,24,1,2,30283.0,0
26,2,own,none,moderate,98513.0,12,car,28,4,3,69962.0,0
41,3,rent,none,rich,29445.0,36,car,22,2,0,44217.0,0
18,3,own,moderate,rich,238449.0,24,business,8,3,1,24387.0,0
61,1,own,little,moderate,44777.0,12,business,24,3,0,37050.0,0
25,1,own,little,moderate,88138.0,48,education,22,4,2,13484.0,1
41,2,own,little,none,98426.0,36,appliances,1,1,3,8000.0,1
28,2,own,moderate,moderate,55421.0,18,car,0,2,3,62182.0,0
68,1,free,moderate,none,299396.0,36,car,37,4,2,29161.0,1
34,3,own,none,none,65185.0,12,appliances,5,2,3,23060.0,0
25,2,rent,moderate,little,83962.0,24,education,14,1,1,34819.0,0
52,3,own,none,little,65271.0,12,car,6,2,0,38933.0,0
52,3,own,moderate,moderate,64939.0,6,business,1,4,0,34302.0,0
50,2,own,none,rich,92467.0,18,appliances,29,1,2,28690.0,0
22,2,own,little,moderate,150517.0,12,business,28,3,1,44256.0,0
59,2,own,none,rich,108671.0,24,business,11,2,2,40681.0,0
56,1,own,moderate,little,62623.0,36,car,33,1,2,75507.0,0
58,2,rent,little,little,98344.0,12,car,29,1,1,38421.0,0
45,1,own,little,little,43469.0,6,appliances,35,4,2,44249.0,0
24,2,own,none,moderate,200778.0,36,education,34,1,0,28527.0,1
26,1,own,little,moderate,72869.0,6,car,1,4,3,56657.0,0
25,1,own,moderate,little,75246.0,18,education,2,3,0,74978.0,0
29,1,own,little,moderate,30709.0,24,business,11,2,3,43267.0,0
51,0,own,moderate,little,72837.0,36,car,3,3,3,33660.0,1
50,2,own,none,little,270870.0,36,business,6,4,0,48249.0,1
65,2,rent,little,rich,142474.0,36,car,19,3,2,53589.0,0
40,2,rent,moderate,moderate,192028.0,12,furniture,18,2,1,97034.0,0
41,1,own,none,moderate,105870.0,36,business,7,3,3,42313.0,1
54,0,own,rich,none,20494.0,12,car,2,1,1,38863.0,0
52,0,rent,none,none,102926.0,12,car,26,2,1,24205.0,0
61,1,own,moderate,little,111383.0,24,appliances,14,3,3,39613.0,0
57,3,own,little,moderate,168954.0,36,business,7,2,1,37420.0,0
39,1,own,moderate,rich,96563.0,6,furniture,17,3,1,54840.0,0
44,1,own,rich,rich,62126.0,6,car,28,1,2,40148.0,0
52,1,own,little,rich,93012.0,36,furniture,35,4,1,26646.0,0
18,1,own,little,little,80390.0,48,education,2,3,0,25959.0,1
52,2,own,little,little,135156.0,24,car,8,2,3,37399.0,1
54,2,own,moderate,moderate,93136.0,18,furniture,9,3,2,58602.0,0
64,1,rent,none,rich,54498.0,36,furniture,39,4,0,48211.0,0
31,0,own,little,little,138710.0,36,furniture,19,1,1,53460.0,1
20,1,own,moderate,little,63366.0,24,car,1,1,1,45246.0,0
18,1,own,none,rich,81667.0,18,car,0,4,0,52155.0,0
22,1,rent,little,little,74731.0,12,repairs,26,1,0,38651.0,0
43,3,rent,moderate,little,113815.0,18,repairs,3,3,2,29498.0,1
31,2,rent,none,little,43357.0,12,furniture,36,2,1,29894.0,0
56,2,own,none,little,100636.0,18,business,31,3,1,28992.0,1
44,2,rent,little,moderate,188766.0,24,business,17,4,1,67753.0,1
26,2,rent,little,moderate,104554.0,12,car,13,3,0,62593.0,0
32,2,own,little,little,66141.0,36,car,14,3,1,37317.0,0
32,2,own,rich,little,79270.0,12,furniture,3,4,3,48007.0,0
43,2,own,rich,little,117883.0,24,education,18,2,3,57553.0,0
59,1,rent,moderate,moderate,138161.0,36,education,23,1,2,34363.0,0
30,2,own,little,little,243376.0,24,appliances,29,4,2,42782.0,0
68,2,own,little,moderate,37218.0,18,business,12,1,0,27906.0,0
49,3,free,moderate,little,115620.0,24,appliances,10,1,3,29297.0,0
56,2,rent,moderate,little,110330.0,36,appliances,27,4,0,57094.0,0
66,2,free,rich,little,94840.0,60,appliances,10,2,2,46168.0,0
69,1,free,moderate,little,122182.0,24,furniture,0,4,0,45519.0,0
49,2,own,little,moderate,86015.0,36,car,3,4,0,65472.0,0
21,1,rent,little,moderate,54215.0,6,education,37,3,1,37279.0,0
47,1,own,little,none,112209.0,48,business,33,3,2,57859.0,1
54,1,rent,little,little,145736.0,60,furniture,11,4,1,30124.0,1
40,2,own,little,little,95953.0,24,appliances,23,3,2,37487.0,0
56,1,free,little,little,186392.0,36,repairs,36,2,1,31977.0,1
62,1,rent,little,rich,85610.0,24,education,31,3,2,30737.0,0
32,3,rent,little,little,130137.0,12,furniture,18,2,2,77035.0,0
60,1,own,rich,moderate,38214.0,48,appliances,28,1,3,22132.0,0
46,2,own,little,little,379063.0,24,car,37,1,2,32417.0,1
53,2,rent,moderate,little,86116.0,24,car,28,2,0,8147.0,1
30,0,own,rich,none,73651.0,36,appliances,18,1,3,35580.0,0
49,2,rent,moderate,moderate,84166.0,48,business,19,2,1,41733.0,0
24,0,own,none,rich,55867.0,36,furniture,2,4,0,60230.0,0
68,2,rent,little,moderate,48966.0,12,appliances,39,3,0,35965.0,0
39,2,own,rich,moderate,101177.0,24,furniture,4,1,2,24050.0,0
45,2,rent,none,little,105712.0,60,education,22,1,2,35911.0,1
19,2,rent,none,moderate,112908.0,24,education,4,4,0,49734.0,1
59,1,own,little,little,96726.0,48,car,29,3,3,58660.0,0
62,0,own,little,moderate,93915.0,36,car,31,3,0,33532.0,0
23,2,own,little,moderate,47962.0,36,appliances,23,2,0,27994.0,1
45,2,own,moderate,rich,73687.0,18,car,34,1,2,38114.0,0
45,3,own,rich,moderate,108745.0,18,car,31,3,2,51175.0,0
61,3,rent,little,moderate,71450.0,24,furniture,21,1,2,59353.0,0
61,3,own,moderate,little,117630.0,18,car,20,1,1,26569.0,0
37,2,own,moderate,little,91024.0,36,appliances,27,1,0,32025.0,0
47,1,own,moderate,little,90603.0,36,car,33,1,0,8000.0,0
28,2,own,none,rich,111788.0,18,education,15,2,1,8008.0,0
45,2,own,rich,none,132070.0,36,furniture,10,3,0,25052.0,0
42,1,free,little,little,150966.0,24,appliances,32,1,0,27192.0,1
56,3,rent,moderate,little,324430.0,18,education,37,3,0,36326.0,0
50,3,own,little,moderate,165756.0,18,furniture,18,4,3,50408.0,0
18,2,own,moderate,none,40609.0,48,repairs,27,4,1,43457.0,1
44,0,rent,none,moderate,51518.0,18,car,28,3,1,49998.0,1
69,1,own,none,little,83718.0,12,education,36,2,0,61279.0,0
30,3,own,moderate,none,62458.0,18,repairs,2,2,2,49430.0,0
58,3,own,little,none,124779.0,12,business,17,4,0,41406.0,0
20,1,own,little,little,132980.0,24,business,17,1,0,53280.0,0
56,0,free,moderate,none,73857.0,12,car,11,4,3,10926.0,1
23,3,rent,little,moderate,201552.0,36,car,17,1,3,40366.0,0
25,1,own,moderate,moderate,236220.0,12,car,31,4,2,56543.0,0
44,2,own,little,moderate,33286.0,24,repairs,35,4,3,42372.0,0
26,3,rent,little,none,41885.0,12,repairs,18,2,0,49102.0,0
54,0,rent,little,moderate,190679.0,60,furniture,3,3,0,41396.0,1
50,2,rent,none,little,166358.0,24,car,10,3,3,55933.0,1
68,0,rent,rich,none,133465.0,36,car,2,4,3,60987.0,1
59,1,own,little,little,99366.0,36,furniture,26,2,1,8000.0,1
61,3,rent,little,rich,92793.0,36,furniture,15,1,0,33088.0,0
41,2,rent,moderate,moderate,136211.0,36,business,17,4,2,8569.0,1
32,3,own,little,little,109742.0,12,appliances,29,1,3,8000.0,0
49,2,rent,moderate,little,216346.0,36,business,23,1,3,55513.0,1
49,1,own,none,none,65595.0,12,education,5,2,1,59280.0,0
41,1,own,moderate,moderate,99787.0,36,business,33,2,1,35897.0,0
58,1,own,moderate,moderate,168417.0,60,business,11,3,3,32550.0,1
69,1,own,moderate,moderate,108951.0,48,furniture,22,2,2,41850.0,0
66,0,own,none,rich,147841.0,12,furniture,35,4,2,95398.0,0
66,1,own,none,moderate,146557.0,18,car,39,4,3,26191.0,1
69,2,own,moderate,little,76504.0,18,business,14,1,1,20709.0,0
29,2,own,little,moderate,53509.0,12,repairs,15,3,0,55792.0,0
56,2,own,moderate,none,63028.0,6,education,13,1,0,56758.0,0
19,2,own,little,moderate,51521.0,18,appliances,14,1,1,51942.0,0
20,0,rent,moderate,little,32416.0,60,car,11,3,0,46347.0,1
66,1,own,moderate,none,190053.0,24,business,34,1,1,39359.0,0
54,2,own,little,rich,31837.0,24,appliances,24,3,2,18007.0,0
66,2,rent,little,little,301606.0,24,education,13,1,0,78482.0,0
34,0,rent,moderate,none,71921.0,36,appliances,1,1,3,79718.0,0
66,3,rent,none,moderate,83532.0,60,education,17,3,3,36026.0,1
19,2,own,moderate,little,39778.0,24,car,34,4,0,70331.0,0
19,2,own,moderate,little,124336.0,6,car,8,1,3,51162.0,0
45,0,rent,little,moderate,84412.0,24,education,10,1,1,13222.0,1
40,2,own,moderate,rich,102402.0,60,appliances,25,4,1,14880.0,1
54,2,own,moderate,little,61557.0,18,car,2,3,3,58710.0,0
49,2,own,moderate,little,131727.0,24,education,4,3,0,68173.0,0
50,2,rent,little,little,60213.0,12,business,31,4,0,51389.0,0
18,3,own,moderate,moderate,103493.0,12,car,9,3,0,49589.0,0
36,2,free,little,little,130247.0,48,car,37,2,2,29169.0,1
19,1,rent,little,little,235811.0,18,furniture,5,1,0,24750.0,1
61,2,own,none,moderate,160098.0,18,car,10,3,0,58814.0,0
43,2,rent,little,rich,104185.0,18,car,16,4,1,45865.0,0
49,2,rent,little,moderate,98245.0,60,car,1,1,2,42871.0,1
23,1,rent,moderate,moderate,119139.0,6,car,23,4,1,67582.0,0
49,1,own,none,moderate,156377.0,36,education,4,3,3,75454.0,0
21,3,rent,moderate,moderate,63159.0,18,business,20,4,3,55488.0,0
28,2,own,rich,none,169723.0,36,business,5,4,0,28230.0,1
34,3,free,none,rich,56264.0,60,education,3,1,2,45947.0,0
55,2,own,little,little,129805.0,18,repairs,8,1,3,37368.0,0
41,2,own,little,moderate,136606.0,12,appliances,4,3,0,42516.0,0
22,2,rent,little,moderate,65977.0,12,repairs,3,4,2,23371.0,1
69,3,rent,none,moderate,39127.0,36,furniture,8,4,3,67557.0,0
51,2,own,little,moderate,84226.0,12,appliances,17,3,3,36486.0,0
23,2,own,little,none,20375.0,12,business,15,4,2,73872.0,0
39,1,own,moderate,rich,88697.0,12,furniture,1,4,2,42710.0,0
28,2,free,moderate,moderate,46679.0,18,car,28,4,2,36357.0,0
65,2,rent,moderate,none,639186.0,6,business,35,4,2,32947.0,1
33,1,rent,moderate,rich,186319.0,48,car,11,2,3,33133.0,1
50,1,own,little,rich,103086.0,48,car,36,3,2,48916.0,1
26,1,own,moderate,none,219574.0,18,education,33,3,1,43998.0,1
23,1,rent,moderate,little,150696.0,24,business,34,4,1,59431.0,0
33,1,rent,none,little,49113.0,24,appliances,39,3,3,31083.0,1
46,2,own,little,none,67829.0,36,education,5,2,3,49172.0,1
20,3,rent,none,rich,183080.0,24,business,36,4,0,66806.0,0
37,2,own,moderate,none,55474.0,24,furniture,35,1,3,69867.0,0
53,1,own,little,little,125140.0,24,business,19,2,2,31898.0,1
36,0,own,rich,moderate,147983.0,36,furniture,15,1,2,38809.0,0
43,2,own,little,little,84425.0,18,appliances,7,3,3,33807.0,0
20,1,own,none,moderate,108163.0,18,furniture,21,3,1,29465.0,0
36,3,own,none,little,162605.0,12,furniture,4,3,0,57075.0,0
37,2,own,little,little,158016.0,24,furniture,4,4,3,24771.0,0
49,2,rent,little,little,129173.0,18,appliances,10,2,3,83900.0,0
24,1,own,little,moderate,97951.0,24,repairs,18,2,0,49200.0,0
69,2,own,little,moderate,140423.0,18,furniture,38,4,1,41781.0,0
58,1,own,little,little,29351.0,36,furniture,16,4,3,81231.0,0
50,3,own,little,little,239270.0,6,business,36,3,1,21367.0,1
57,2,rent,moderate,little,91169.0,24,appliances,37,2,2,31021.0,0
56,1,own,little,none,63514.0,24,furniture,17,3,1,22465.0,0
35,1,rent,none,little,141447.0,18,car,8,2,2,44572.0,1
57,1,rent,none,little,139087.0,18,furniture,16,4,0,33487.0,1
18,2,own,moderate,none,54948.0,36,education,32,3,3,21570.0,0
28,1,own,none,moderate,102798.0,12,furniture,19,2,2,23691.0,0
45,2,own,little,rich,100952.0,48,car,17,4,1,50962.0,0
42,1,own,little,moderate,97076.0,48,car,23,1,3,56404.0,0
67,2,rent,moderate,none,261558.0,36,business,12,3,2,20153.0,1
40,3,own,moderate,little,97529.0,36,repairs,39,2,2,41517.0,0
48,2,own,moderate,none,91314.0,24,appliances,27,2,1,37556.0,0
47,2,own,none,none,65629.0,24,business,2,3,2,33206.0,1
59,1,own,none,moderate,60180.0,60,appliances,35,2,0,73984.0,0
52,0,own,moderate,moderate,124895.0,12,car,10,1,2,44048.0,0
24,2,own,rich,moderate,74467.0,12,education,38,1,1,48010.0,0
33,1,own,little,little,88189.0,12,car,20,2,3,57294.0,0
43,2,own,little,little,111179.0,24,business,36,3,1,46478.0,0
65,0,rent,rich,none,102561.0,12,repairs,1,2,1,44648.0,0
69,1,rent,moderate,moderate,107042.0,48,appliances,5,2,3,59867.0,0
66,0,own,moderate,moderate,106808.0,18,education,4,1,2,34577.0,0
19,3,own,little,rich,143596.0,36,business,31,4,0,36877.0,1
18,1,free,moderate,moderate,481479.0,12,appliances,36,4,1,27085.0,1
65,2,own,little,little,206403.0,18,car,39,2,1,70435.0,0
29,0,own,moderate,rich,79430.0,6,business,10,3,0,54998.0,0
22,2,own,little,rich,204701.0,12,car,16,1,1,49191.0,0
54,1,rent,little,little,52456.0,24,appliances,13,4,3,73039.0,1
49,3,own,little,none,70280.0,48,car,1,2,2,22957.0,1
26,3,free,little,little,150863.0,18,car,38,3,3,43501.0,1
58,1,rent,none,moderate,148082.0,24,business,17,1,1,18259.0,1
52,3,rent,little,little,141623.0,18,car,32,4,3,19665.0,1
36,3,rent,little,moderate,69274.0,6,car,29,4,1,65279.0,0
65,3,own,moderate,moderate,69559.0,24,education,14,4,2,75416.0,0
33,3,own,moderate,moderate,106798.0,6,appliances,28,3,3,37507.0,0
20,1,rent,little,none,84849.0,48,car,25,3,3,37649.0,1
37,2,free,little,little,168199.0,36,appliances,0,3,0,37057.0,0
41,0,own,none,rich,83583.0,18,appliances,16,2,0,75373.0,0
50,0,free,moderate,moderate,82118.0,24,education,38,1,1,34483.0,0
41,3,own,little,none,37216.0,12,education,1,2,3,74990.0,0
69,1,own,moderate,moderate,166908.0,36,car,14,1,2,45841.0,0
28,2,own,little,little,119782.0,36,furniture,21,3,2,36269.0,1
66,3,own,little,little,25044.0,36,car,19,4,0,49827.0,0
25,3,own,moderate,none,128928.0,12,car,28,3,0,79023.0,0
53,3,own,none,none,77598.0,12,furniture,24,2,0,47945.0,0
55,1,own,little,little,157246.0,24,furniture,23,3,2,41485.0,1
57,0,own,none,moderate,92682.0,60,business,33,3,2,54605.0,1
37,2,own,little,moderate,60924.0,48,education,20,3,2,40831.0,0
52,1,free,little,none,278571.0,18,appliances,1,4,1,24707.0,1
65,0,own,little,none,253516.0,36,car,15,1,3,43677.0,1
42,1,own,little,none,88309.0,48,car,39,1,1,60663.0,1
52,2,own,none,none,123449.0,12,education,20,2,3,52911.0,0
42,2,own,moderate,none,74942.0,36,car,36,1,3,21822.0,0
46,1,rent,little,little,35458.0,12,business,7,3,3,59357.0,0
35,2,own,none,none,217645.0,18,education,13,4,0,54180.0,0
63,1,rent,none,rich,61167.0,12,furniture,21,3,3,47246.0,0
35,0,own,rich,none,211954.0,24,furniture,17,3,0,64496.0,0
19,2,own,none,moderate,149992.0,36,furniture,4,2,3,61508.0,0
52,2,own,little,little,117277.0,24,furniture,29,3,1,60889.0,0
33,2,own,none,moderate,96322.0,12,car,30,3,1,13477.0,0
58,0,own,moderate,moderate,150372.0,12,car,8,2,3,56546.0,0
53,3,own,none,little,56486.0,24,education,30,1,1,39728.0,0
50,2,own,rich,moderate,219839.0,24,car,30,1,1,51052.0,0
21,2,own,little,moderate,107573.0,24,business,8,1,3,28154.0,0
50,2,free,rich,moderate,242078.0,6,car,36,2,3,61532.0,0
31,3,own,little,moderate,91731.0,36,car,5,2,0,64227.0,0
38,2,own,little,little,107528.0,48,car,25,4,1,43243.0,1
65,2,own,little,none,115651.0,24,furniture,9,4,1,14478.0,1
37,3,own,none,rich,139470.0,36,car,5,3,3,54611.0,0
25,2,own,little,little,292589.0,48,car,32,3,2,48643.0,1
24,2,rent,moderate,rich,75899.0,24,furniture,29,2,0,10492.0,0
20,2,free,little,rich,91424.0,36,furniture,39,2,0,44941.0,0
34,1,own,none,little,97583.0,36,appliances,23,4,2,59681.0,1
50,1,own,little,moderate,24606.0,12,appliances,27,3,0,8000.0,0
65,2,own,rich,moderate,70760.0,24,car,37,3,0,46084.0,0
29,3,rent,none,moderate,73577.0,36,car,28,3,1,49025.0,1
68,3,own,moderate,rich,480634.0,12,education,14,1,1,49154.0,0
39,1,own,little,moderate,115276.0,48,appliances,7,4,3,40820.0,1
39,2,own,rich,little,132732.0,24,repairs,22,1,3,47723.0,0
63,1,rent,none,none,40897.0,18,car,8,3,0,41196.0,0
47,3,own,rich,little,95069.0,24,furniture,10,2,2,40080.0,0
55,3,own,little,rich,173106.0,18,business,5,4,3,53531.0,0
55,2,rent,none,little,446854.0,36,appliances,11,1,3,91057.0,0
62,3,own,little,little,65475.0,24,car,33,3,2,44105.0,0
68,2,rent,moderate,moderate,33212.0,48,business,20,1,0,32599.0,1
25,2,own,none,little,61993.0,24,car,31,2,0,42680.0,0
44,0,rent,little,moderate,62144.0,36,car,35,4,3,43399.0,1
44,2,rent,rich,little,62493.0,60,furniture,24,2,0,33098.0,0
51,2,own,moderate,moderate,170162.0,12,car,34,2,0,33030.0,0
38,2,rent,none,moderate,121257.0,36,business,33,4,3,29698.0,1
47,1,own,little,little,50159.0,12,business,18,3,3,34774.0,0
50,3,free,moderate,none,230896.0,36,appliances,36,3,1,46324.0,1
45,1,own,none,little,307374.0,24,furniture,16,1,1,43337.0,0
64,2,rent,little,little,35490.0,48,car,15,3,0,65459.0,1
50,2,own,little,moderate,200103.0,48,car,15,3,2,8158.0,1
22,2,free,none,moderate,89137.0,6,furniture,3,3,1,41864.0,0
65,2,own,little,moderate,56094.0,12,business,29,1,0,34661.0,0
36,1,free,none,little,41228.0,24,furniture,33,4,2,23159.0,1
21,1,free,little,none,75232.0,24,education,4,3,1,30177.0,1
52,2,own,little,moderate,72178.0,12,education,32,2,1,12089.0,0
66,2,rent,rich,little,107850.0,12,car,8,3,0,42139.0,0
34,1,free,moderate,moderate,357763.0,24,education,16,3,3,45041.0,1
61,2,own,moderate,none,72784.0,6,furniture,11,4,3,19744.0,0
45,2,own,moderate,moderate,42449.0,48,appliances,23,2,2,43904.0,0
47,2,own,none,little,80975.0,36,business,11,1,3,46376.0,1
46,3,own,little,moderate,184463.0,36,car,14,3,0,28386.0,0
63,1,own,moderate,little,85084.0,6,furniture,15,3,1,46654.0,0
23,0,own,little,moderate,145931.0,6,business,22,3,2,45929.0,1
52,2,own,moderate,none,109316.0,24,car,17,3,3,41546.0,0
58,2,own,little,moderate,102406.0,60,business,21,2,1,59113.0,1
54,2,own,little,moderate,255847.0,18,car,30,4,0,63814.0,0
41,3,rent,moderate,none,55222.0,18,education,14,4,0,64625.0,0
46,3,rent,little,moderate,52871.0,12,appliances,20,3,1,29458.0,0
66,3,own,little,moderate,57224.0,36,education,7,1,0,41600.0,0
63,2,rent,moderate,little,121442.0,24,furniture,39,2,0,9470.0,0
48,2,rent,moderate,moderate,101932.0,12,car,35,2,1,57328.0,0
52,2,free,none,moderate,151158.0,24,car,37,1,3,60274.0,0
50,1,own,moderate,moderate,94313.0,36,education,5,3,2,64986.0,0
69,2,own,little,none,87784.0,24,furniture,16,3,1,78482.0,0
38,1,free,moderate,none,120270.0,36,furniture,39,3,1,64197.0,0
49,3,free,little,rich,273177.0,36,appliances,35,1,3,54658.0,0
40,2,rent,rich,moderate,49150.0,36,furniture,27,2,2,46798.0,0
50,2,rent,none,moderate,56835.0,24,education,22,4,0,91803.0,0
20,1,own,moderate,little,101180.0,48,education,30,3,3,49740.0,1
35,0,own,moderate,little,334196.0,48,education,10,1,2,88388.0,1
42,0,own,little,rich,51897.0,18,furniture,19,1,1,32729.0,0
59,2,own,moderate,moderate,98126.0,12,furniture,31,3,2,39391.0,0
48,0,rent,none,none,58312.0,36,appliances,16,1,3,58679.0,1
20,2,own,little,little,125355.0,12,furniture,37,3,0,8000.0,0
